Date,Title,Quantity Sold,Total Revenue
2024-05-14,Infinite Realms,19,15256.62
2023-02-09,The Silent Sea,13,8153.86
2023-12-21,The Hidden Path,15,11798.25
2024-03-18,The Final Oath,8,9119.68
2023-02-11,Nightfall,5,3287.9
2023-10-07,Rise of Legends,13,2659.15
2024-03-12,Dreamcatcher,15,3024.3
2023-02-06,Nightfall,2,1315.16
2023-12-15,The Final Oath,4,4559.84
2023-03-22,Golden Empire,11,11473.33
2024-09-10,The Forgotten Tale,8,4135.04
2023-11-22,Dreamcatcher,1,201.62
2023-05-04,Heart of Steel,2,1841.52
2023-09-15,The Sapphire Flame,19,12242.46
2023-05-19,Dreamcatcher,22,4435.64
2024-06-16,Beneath the Stars,10,4717.9
2023-07-18,Beneath the Stars,8,3774.32
2023-04-20,City of Echoes,2,970.78
2024-03-01,Arcane Secrets,3,3421.26
2023-12-02,The Forgotten Tale,19,9820.72
2023-04-09,Tides of Destiny,17,2695.35
2024-07-13,Winds of Winter,20,13992.2
2024-06-27,Whispers of Time,13,3781.57
2023-01-08,Stormbreaker,4,2752.48
2024-01-17,Dreamcatcher,17,3427.54
2023-10-09,The Time Weaver,8,6422.0
2023-02-23,Fragments of Light,2,1321.0
2023-05-29,Nightfall,11,7233.38
2023-03-19,Beyond the Veil,22,22826.1
2023-04-25,Rise of Legends,7,1431.85
2023-05-04,The Sapphire Flame,18,11598.12
2024-07-03,The Celestial Key,19,15926.37
2024-06-04,The Lost Horizon,10,5128.0
2023-12-07,Kingdom of Ash,21,22398.18
2023-11-19,Fragments of Light,15,9907.5
2023-12-20,Beyond the Veil,1,1037.55
2024-07-09,Arcane Secrets,18,20527.56
2024-06-29,Arcane Secrets,15,17106.3
2024-06-17,Infinite Realms,21,16862.58
2023-07-11,Tides of Destiny,8,1268.4
2024-01-23,The Final Oath,12,13679.52
2023-09-20,Nightfall,8,5260.64
2024-08-04,Crimson Sky,16,10227.68
2024-02-26,Shadows of Fate,3,2642.4
2023-08-31,The Final Oath,1,1139.96
2024-02-15,The Time Weaver,14,11238.5
2024-05-21,Whispers of Time,12,3490.68
2024-07-22,The Sapphire Flame,3,1933.02
2023-07-04,The Lost Horizon,10,5128.0
2024-10-10,Whispers of Time,16,4654.24
2023-12-30,The Forgotten Tale,1,516.88
2023-10-05,Dreamcatcher,18,3629.16
2023-12-12,The Lost Horizon,24,12307.2
2023-03-28,The Hidden Path,6,4719.3
2023-06-26,Silent Guardian,4,2708.76
2024-05-10,Whispers of Time,11,3199.79
2023-09-14,Edge of Tomorrow,14,3787.28
2023-11-13,Whispers of Time,2,581.78
2023-09-26,Edge of Tomorrow,21,5680.92
2023-08-14,Nightfall,11,7233.38
2024-03-19,Rise of Legends,7,1431.85
2023-11-03,The Lost Horizon,13,6666.4
2023-05-22,Shadows of Fate,13,11450.4
2023-10-20,Arcane Secrets,6,6842.52
2024-05-23,Golden Empire,17,17731.51
2024-03-08,The Forgotten Tale,2,1033.76
2024-08-03,Last Ember,14,12546.66
2024-01-15,Dreamcatcher,10,2016.2
2024-04-12,Dreamcatcher,16,3225.92
2023-03-08,The Sapphire Flame,3,1933.02
2024-08-08,City of Echoes,4,1941.56
2023-07-01,Golden Empire,18,18774.54
2024-06-01,City of Echoes,6,2912.34
2023-12-31,Edge of Tomorrow,6,1623.12
2023-01-15,Heart of Steel,21,19335.96
2024-07-23,Last Ember,1,896.19
2024-06-26,Echoes of Eternity,17,3740.85
2024-09-15,The Silent Sea,6,3763.32
2023-03-03,Silent Guardian,10,6771.9
2024-01-05,Arcane Secrets,12,13685.04
2023-01-18,Kingdom of Ash,4,4266.32
2023-10-25,Shadows of Fate,14,12331.2
2023-12-26,Fragments of Light,11,7265.5
2023-07-29,Dreamcatcher,17,3427.54
2024-03-11,The Final Oath,7,7979.72
2023-05-08,Crimson Sky,13,8309.99
2023-11-21,Beyond the Veil,1,1037.55
2023-10-10,Last Ember,23,20612.37
2023-05-07,Kingdom of Ash,17,18131.86
2023-11-21,The Time Weaver,18,14449.5
2024-03-13,The Hidden Path,24,18877.2
2024-04-03,The Celestial Key,8,6705.84
2024-05-15,Dreamcatcher,17,3427.54
2024-03-10,Fragments of Light,23,15191.5
2024-09-26,Arcane Secrets,10,11404.2
2023-07-26,Winds of Winter,6,4197.66
2024-07-08,Edge of Tomorrow,13,3516.76
2023-04-08,The Final Oath,18,20519.28
2023-09-07,Last Ember,24,21508.56
2024-05-21,Beyond the Veil,23,23863.65
2023-04-29,Rise of Legends,14,2863.7
2023-12-19,Kingdom of Ash,22,23464.76
2023-04-25,Beyond the Veil,11,11413.05
2023-02-23,The Time Weaver,22,17660.5
2024-10-08,Heart of Steel,2,1841.52
2023-01-05,Shadows of Fate,1,880.8
2023-11-02,Crimson Sky,19,12145.37
2023-04-18,Winds of Winter,7,4897.27
2024-02-03,Fragments of Light,16,10568.0
2024-08-26,Dreamcatcher,9,1814.58
2024-03-19,Whispers of Time,7,2036.23
2023-02-20,Echoes of Eternity,4,880.2
2024-01-27,Crimson Sky,10,6392.3
2023-09-22,The Celestial Key,6,5029.38
2023-01-29,Shadows of Fate,15,13212.0
2024-03-18,Heart of Steel,23,21177.48
2023-02-19,The Hidden Path,12,9438.6
2023-05-16,Dreamcatcher,3,604.86
2023-01-25,Winds of Winter,3,2098.83
2023-03-06,Heart of Steel,23,21177.48
2023-06-05,Beyond the Veil,2,2075.1
2023-11-22,Heart of Steel,20,18415.2
2023-02-18,The Silent Sea,19,11917.18
2023-04-09,City of Echoes,1,485.39
2024-07-30,Fragments of Light,1,660.5
2023-06-25,The Hidden Path,17,13371.35
2023-11-06,Fragments of Light,18,11889.0
2023-10-07,Stormbreaker,18,12386.16
2023-11-23,Nightfall,16,10521.28
2024-04-09,The Time Weaver,16,12844.0
2023-07-01,The Sapphire Flame,12,7732.08
2023-07-09,Beneath the Stars,10,4717.9
2024-09-28,Arcane Secrets,22,25089.24
2024-08-22,Stormbreaker,20,13762.4
2024-04-11,Echoes of Eternity,8,1760.4
2023-12-25,Kingdom of Ash,14,14932.12
2024-01-12,The Celestial Key,18,15088.14
2023-09-07,Winds of Winter,15,10494.15
2023-05-31,The Celestial Key,5,4191.15
2023-04-06,Whispers of Time,10,2908.9
2023-05-09,Silent Guardian,19,12866.61
2023-09-22,Dreamcatcher,8,1612.96
2024-03-08,The Final Oath,2,2279.92
2024-01-23,The Time Weaver,11,8830.25
2023-09-15,Rise of Legends,20,4091.0
2024-03-25,Golden Empire,16,16688.48
2023-06-29,Kingdom of Ash,5,5332.9
2023-02-14,Silent Guardian,17,11512.23
2023-04-28,Shadows of Fate,16,14092.8
2024-02-08,Beneath the Stars,2,943.58
2023-05-13,Rise of Legends,16,3272.8
2023-05-16,Tides of Destiny,10,1585.5
2024-01-04,Last Ember,21,18819.99
2023-01-27,Winds of Winter,5,3498.05
2023-03-20,Edge of Tomorrow,18,4869.36
2023-09-13,Infinite Realms,6,4817.88
2023-08-11,Infinite Realms,19,15256.62
2024-07-03,The Silent Sea,4,2508.88
2023-06-16,Golden Empire,5,5215.15
2024-09-10,The Forgotten Tale,18,9303.84
2024-03-03,The Final Oath,22,25079.12
2023-11-20,Beneath the Stars,3,1415.37
2023-10-18,City of Echoes,18,8737.02
2023-04-06,Arcane Secrets,22,25089.24
2023-02-15,Heart of Steel,19,17494.44
2024-02-21,The Hidden Path,21,16517.55
2023-04-09,Stormbreaker,3,2064.36
2024-07-20,Stormbreaker,22,15138.64
2023-10-04,Fragments of Light,16,10568.0
2023-09-29,City of Echoes,3,1456.17
2023-05-04,Tides of Destiny,4,634.2
2023-12-12,Last Ember,2,1792.38
2024-02-05,Kingdom of Ash,6,6399.48
2024-10-04,Stormbreaker,8,5504.96
2023-02-12,Nightfall,4,2630.32
2023-07-07,The Hidden Path,17,13371.35
2023-01-02,Beneath the Stars,14,6605.06
2023-10-26,The Sapphire Flame,18,11598.12
2023-03-14,Nightfall,3,1972.74
2023-04-09,Shadows of Fate,22,19377.6
2023-09-29,Tides of Destiny,6,951.3
2024-01-02,The Celestial Key,11,9220.53
2023-06-07,The Celestial Key,17,14249.91
2023-06-06,Golden Empire,10,10430.3
2023-07-08,Tides of Destiny,15,2378.25
2024-09-21,Beyond the Veil,24,24901.2
2024-02-22,Shadows of Fate,18,15854.4
2024-05-31,Arcane Secrets,7,7982.94
2024-07-25,Kingdom of Ash,19,20265.02
2024-04-12,Arcane Secrets,6,6842.52
2023-08-18,Heart of Steel,20,18415.2
2024-04-08,Edge of Tomorrow,18,4869.36
2023-11-04,The Hidden Path,16,12584.8
2024-02-24,The Lost Horizon,17,8717.6
2023-05-22,Silent Guardian,16,10835.04
2024-09-15,Nightfall,12,7890.96
2023-11-29,The Celestial Key,22,18441.06
2023-09-12,The Lost Horizon,17,8717.6
2023-04-17,Fragments of Light,24,15852.0
2023-06-08,Arcane Secrets,1,1140.42
2024-09-15,Beyond the Veil,24,24901.2
2023-12-19,Last Ember,11,9858.09
2024-08-14,Beneath the Stars,21,9907.59
2023-04-29,Silent Guardian,8,5417.52
2023-11-12,The Forgotten Tale,14,7236.32
2024-09-20,Last Ember,20,17923.8
2023-04-15,Silent Guardian,3,2031.57
2023-08-11,Crimson Sky,4,2556.92
2023-05-16,Last Ember,10,8961.9
2023-07-04,Infinite Realms,21,16862.58
2024-05-31,Whispers of Time,13,3781.57
2023-03-25,Kingdom of Ash,1,1066.58
2023-05-15,The Sapphire Flame,13,8376.42
2023-10-06,The Hidden Path,10,7865.5
2023-10-25,Arcane Secrets,6,6842.52
2023-04-17,The Final Oath,12,13679.52
2023-03-05,Edge of Tomorrow,7,1893.64
2023-07-30,Whispers of Time,19,5526.91
2024-08-09,The Hidden Path,4,3146.2
2023-11-12,The Sapphire Flame,9,5799.06
2023-04-18,Kingdom of Ash,16,17065.28
2023-06-01,Tides of Destiny,16,2536.8
2023-03-27,Crimson Sky,8,5113.84
2023-04-06,The Hidden Path,2,1573.1
2023-01-11,Arcane Secrets,22,25089.24
2023-03-13,Golden Empire,6,6258.18
2024-04-25,Shadows of Fate,22,19377.6
2024-07-01,Arcane Secrets,22,25089.24
2023-12-04,Dreamcatcher,19,3830.78
2024-10-08,Tides of Destiny,19,3012.45
2024-08-24,Rise of Legends,13,2659.15
2023-05-01,Beneath the Stars,11,5189.69
2023-07-25,Edge of Tomorrow,9,2434.68
2024-03-28,The Hidden Path,9,7078.95
2023-09-26,Echoes of Eternity,20,4401.0
2023-12-09,Beneath the Stars,19,8964.01
2023-10-23,Silent Guardian,18,12189.42
2023-07-20,The Forgotten Tale,7,3618.16
2023-12-20,The Time Weaver,20,16055.0
2023-03-10,Fragments of Light,22,14531.0
2023-10-20,Arcane Secrets,10,11404.2
2024-05-28,Whispers of Time,3,872.67
2024-01-30,Beyond the Veil,13,13488.15
2024-08-01,Dreamcatcher,2,403.24
2023-12-15,Heart of Steel,24,22098.24
2023-02-02,Kingdom of Ash,11,11732.38
2024-06-13,The Sapphire Flame,10,6443.4
2023-06-03,The Silent Sea,11,6899.42
2023-12-02,Golden Empire,12,12516.36
2024-09-21,Stormbreaker,24,16514.88
2024-04-18,Tides of Destiny,6,951.3
2024-02-17,Dreamcatcher,19,3830.78
2024-01-13,Heart of Steel,4,3683.04
2023-08-15,Winds of Winter,17,11893.37
2024-08-29,The Final Oath,6,6839.76
2024-05-28,Winds of Winter,7,4897.27
2023-02-24,The Final Oath,4,4559.84
2024-02-06,Kingdom of Ash,5,5332.9
2024-09-12,Crimson Sky,9,5753.07
2023-06-02,Infinite Realms,24,19271.52
2024-06-09,Winds of Winter,14,9794.54
2023-10-29,The Forgotten Tale,9,4651.92
2023-10-01,Whispers of Time,16,4654.24
2023-03-13,Rise of Legends,20,4091.0
2023-11-02,Whispers of Time,3,872.67
2024-03-02,Dreamcatcher,21,4234.02
2023-04-04,The Time Weaver,7,5619.25
2024-05-23,Golden Empire,23,23989.69
2024-08-02,The Lost Horizon,8,4102.4
2024-03-01,Echoes of Eternity,7,1540.35
2024-04-10,The Hidden Path,20,15731.0
2024-05-31,Silent Guardian,3,2031.57
2023-08-01,Fragments of Light,11,7265.5
2023-01-28,Edge of Tomorrow,11,2975.72
2023-06-25,The Sapphire Flame,2,1288.68
2024-03-10,Silent Guardian,17,11512.23
2024-06-13,The Hidden Path,2,1573.1
2024-06-13,Last Ember,4,3584.76
2024-07-27,Winds of Winter,12,8395.32
2024-01-14,City of Echoes,21,10193.19
2024-06-28,Kingdom of Ash,14,14932.12
2023-06-28,Stormbreaker,20,13762.4
2023-07-08,Winds of Winter,13,9094.93
2024-01-30,Last Ember,11,9858.09
2023-02-10,Beneath the Stars,3,1415.37
2023-01-19,The Final Oath,6,6839.76
2023-11-27,The Hidden Path,13,10225.15
2024-01-28,Shadows of Fate,7,6165.6
2024-07-01,Golden Empire,12,12516.36
2023-12-01,Arcane Secrets,19,21667.98
2024-07-09,Golden Empire,22,22946.66
2024-07-16,Fragments of Light,15,9907.5
2024-04-15,Silent Guardian,13,8803.47
2024-04-28,The Hidden Path,4,3146.2
2023-12-27,Edge of Tomorrow,6,1623.12
2023-10-30,The Silent Sea,21,13171.62
2024-06-08,Heart of Steel,4,3683.04
2024-03-11,Heart of Steel,17,15652.92
2024-01-27,Last Ember,1,896.19
2023-01-17,Beneath the Stars,18,8492.22
2023-03-28,Tides of Destiny,17,2695.35
2024-02-17,Shadows of Fate,11,9688.8
2024-08-29,Silent Guardian,5,3385.95
2024-06-14,Fragments of Light,20,13210.0
2023-03-17,Fragments of Light,23,15191.5
2023-10-28,The Forgotten Tale,8,4135.04
2024-05-17,Rise of Legends,22,4500.1
2024-07-04,The Celestial Key,17,14249.91
2023-08-05,The Sapphire Flame,19,12242.46
2024-03-25,Golden Empire,14,14602.42
2024-02-27,The Final Oath,19,21659.24
2023-03-12,Crimson Sky,6,3835.38
2024-04-26,Edge of Tomorrow,3,811.56
2023-01-14,The Silent Sea,16,10035.52
2024-08-04,Winds of Winter,7,4897.27
2024-09-12,Arcane Secrets,19,21667.98
2024-04-04,The Sapphire Flame,10,6443.4
2024-02-18,Echoes of Eternity,15,3300.75
2023-06-22,The Final Oath,20,22799.2
2024-01-02,Tides of Destiny,19,3012.45
2023-03-03,Whispers of Time,21,6108.69
2023-05-11,Last Ember,11,9858.09
2024-08-02,Last Ember,22,19716.18
2024-01-14,The Time Weaver,5,4013.75
2023-01-20,The Hidden Path,24,18877.2
2023-02-08,The Lost Horizon,7,3589.6
2024-02-02,Beneath the Stars,7,3302.53
2023-03-02,Dreamcatcher,5,1008.1
2024-04-11,Crimson Sky,6,3835.38
2023-03-01,Stormbreaker,5,3440.6
2023-09-13,The Celestial Key,16,13411.68
2023-02-11,Infinite Realms,22,17665.56
2024-08-07,The Lost Horizon,21,10768.8
2024-01-02,Heart of Steel,16,14732.16
2023-01-18,The Lost Horizon,15,7692.0
2023-06-26,Heart of Steel,24,22098.24
2023-03-20,Kingdom of Ash,21,22398.18
2024-05-09,The Sapphire Flame,15,9665.1
2024-05-23,Arcane Secrets,23,26229.66
2024-05-27,Infinite Realms,10,8029.8
2024-04-11,Infinite Realms,3,2408.94
2023-09-03,The Forgotten Tale,15,7753.2
2023-04-09,Golden Empire,24,25032.72
2023-02-05,Silent Guardian,16,10835.04
2023-06-23,The Time Weaver,1,802.75
2024-01-13,Winds of Winter,22,15391.42
2023-08-27,Shadows of Fate,6,5284.8
2024-06-23,Last Ember,5,4480.95
2024-02-02,Tides of Destiny,13,2061.15
2023-12-21,The Sapphire Flame,13,8376.42
2023-05-21,Winds of Winter,20,13992.2
2024-06-29,Winds of Winter,15,10494.15
2023-08-23,Kingdom of Ash,20,21331.6
2023-06-01,Golden Empire,9,9387.27
2024-05-28,Arcane Secrets,18,20527.56
2023-10-18,Stormbreaker,11,7569.32
2023-01-11,Whispers of Time,6,1745.34
2023-03-05,The Time Weaver,17,13646.75
2024-05-15,Silent Guardian,12,8126.28
2023-02-02,Beneath the Stars,20,9435.8
2023-05-12,The Hidden Path,15,11798.25
2024-02-09,Beyond the Veil,20,20751.0
2023-09-07,Stormbreaker,4,2752.48
2024-02-10,The Final Oath,9,10259.64
2024-10-12,The Final Oath,11,12539.56
2024-08-07,Echoes of Eternity,11,2420.55
2024-10-12,The Final Oath,6,6839.76
2023-12-31,Golden Empire,9,9387.27
2023-02-05,Stormbreaker,21,14450.52
2023-10-05,Tides of Destiny,10,1585.5
2023-06-21,Infinite Realms,5,4014.9
2024-02-19,Fragments of Light,9,5944.5
2023-07-21,The Hidden Path,3,2359.65
2023-02-01,The Lost Horizon,6,3076.8
2024-04-08,The Time Weaver,21,16857.75
2023-10-05,Beneath the Stars,19,8964.01
2023-08-25,Echoes of Eternity,15,3300.75
2023-12-19,The Hidden Path,9,7078.95
2024-08-02,Fragments of Light,15,9907.5
2023-04-04,The Sapphire Flame,21,13531.14
2024-02-11,Nightfall,20,13151.6
2023-04-14,Beyond the Veil,7,7262.85
2024-09-22,Crimson Sky,12,7670.76
2024-02-25,The Silent Sea,21,13171.62
2024-02-21,Stormbreaker,16,11009.92
2023-11-01,Beyond the Veil,4,4150.2
2023-03-25,The Forgotten Tale,13,6719.44
2024-03-18,Last Ember,11,9858.09
2023-01-23,Nightfall,14,9206.12
2024-03-01,The Sapphire Flame,1,644.34
2024-02-07,The Sapphire Flame,9,5799.06
2023-01-16,The Lost Horizon,20,10256.0
2023-12-31,Heart of Steel,23,21177.48
2024-08-01,Heart of Steel,11,10128.36
2024-01-10,Silent Guardian,5,3385.95
2023-08-22,The Lost Horizon,10,5128.0
2024-05-18,The Silent Sea,10,6272.2
2024-08-31,Crimson Sky,4,2556.92
2024-09-21,Tides of Destiny,18,2853.9
2024-07-17,Silent Guardian,3,2031.57
2023-08-13,Echoes of Eternity,19,4180.95
2024-08-25,Last Ember,11,9858.09
2023-05-20,Arcane Secrets,12,13685.04
2024-09-11,The Lost Horizon,22,11281.6
2023-12-18,Beneath the Stars,21,9907.59
2023-12-27,Beneath the Stars,16,7548.64
2024-06-21,Winds of Winter,6,4197.66
2023-08-14,Edge of Tomorrow,14,3787.28
2024-05-09,The Time Weaver,14,11238.5
2023-05-19,Beyond the Veil,18,18675.9
2024-01-23,Arcane Secrets,10,11404.2
2023-09-23,Silent Guardian,1,677.19
2024-05-22,The Sapphire Flame,18,11598.12
2024-10-01,The Hidden Path,18,14157.9
2023-07-08,Beyond the Veil,1,1037.55
2023-08-16,The Forgotten Tale,2,1033.76
2023-09-01,The Silent Sea,3,1881.66
2023-09-12,The Forgotten Tale,16,8270.08
2024-09-14,Dreamcatcher,20,4032.4
2023-12-13,The Forgotten Tale,9,4651.92
2024-02-12,The Time Weaver,8,6422.0
2023-05-01,Edge of Tomorrow,24,6492.48
2024-02-01,Beneath the Stars,7,3302.53
2023-12-25,Arcane Secrets,16,18246.72
2024-07-19,Arcane Secrets,20,22808.4
2023-05-11,The Forgotten Tale,15,7753.2
2024-08-12,The Final Oath,5,5699.8
2024-07-22,The Lost Horizon,6,3076.8
2023-04-05,Whispers of Time,16,4654.24
2023-11-21,Shadows of Fate,7,6165.6
2024-09-26,Stormbreaker,14,9633.68
2023-08-25,Shadows of Fate,1,880.8
2024-06-11,Whispers of Time,10,2908.9
2023-08-23,Winds of Winter,13,9094.93
2023-11-15,Fragments of Light,13,8586.5
2023-02-10,Silent Guardian,8,5417.52
2024-03-16,Silent Guardian,7,4740.33
2023-06-12,Rise of Legends,19,3886.45
2023-03-06,Edge of Tomorrow,9,2434.68
2023-12-16,The Forgotten Tale,4,2067.52
2024-07-11,Fragments of Light,10,6605.0
2024-04-23,Kingdom of Ash,10,10665.8
2023-08-10,Nightfall,9,5918.22
2023-06-07,Tides of Destiny,19,3012.45
2023-08-16,Edge of Tomorrow,5,1352.6
