Title,Author,Genre,Price,Quantity
The Celestial Key,Terry Pratchett,Science Fiction,851.75,146
Silent Guardian,James Patterson,Fantasy,383.51,13
Golden Empire,Agatha Christie,History,1174.13,86
The Celestial Key,Tana French,Science Fiction,354.87,126
The Lost Horizon,Tana French,Thriller,773.29,55
Arcane Secrets,Haruki Murakami,Science Fiction,1129.87,129
Whispers of Time,Leigh Bardugo,Biography,280.01,120
Shadows of Fate,Nicholas Sparks,Romance,652.19,86
The Sapphire Flame,Neil Gaiman,Romance,153.21,51
City of Echoes,Colleen Hoover,Biography,403.24,108
Silent Guardian,Terry Pratchett,Thriller,532.87,88
Beneath the Stars,R.F. Kuang,Biography,812.47,40
The Hidden Path,Terry Pratchett,Mystery,291.66,55
Kingdom of Ash,Dan Brown,History,961.54,47
Crimson Sky,Veronica Roth,Biography,1030.29,81
Arcane Secrets,Agatha Christie,Science Fiction,777.7,122
Tides of Destiny,Neil Gaiman,Romance,557.47,125
Silent Guardian,Andy Weir,Thriller,509.97,94
City of Echoes,Paulo Coelho,History,857.6,60
Beneath the Stars,Stephen King,Science Fiction,806.58,141
The Time Weaver,John Grisham,Fantasy,164.73,62
Kingdom of Ash,Veronica Roth,Thriller,992.78,80
Golden Empire,J.K. Rowling,Fiction,196.98,102
Beyond the Veil,George R.R. Martin,Fiction,617.43,142
Dreamcatcher,Kazuo Ishiguro,Mystery,793.26,148
The Lost Horizon,Suzanne Collins,History,278.21,117
Beneath the Stars,Suzanne Collins,Fiction,616.53,115
Nightfall,Suzanne Collins,Science Fiction,1049.46,133
Whispers of Time,Rick Riordan,Biography,410.91,93
Edge of Tomorrow,Dan Brown,Fantasy,1020.32,105
Beneath the Stars,Rick Riordan,Fiction,181.78,114
Infinite Realms,Terry Pratchett,Fiction,483.06,43
Fragments of Light,Colleen Hoover,Thriller,786.4,79
Fragments of Light,J.K. Rowling,History,270.58,64
Dreamcatcher,Kazuo Ishiguro,History,982.09,69
The Celestial Key,Gillian Flynn,Science Fiction,209.6,44
Last Ember,Margaret Atwood,Mystery,725.89,39
Tides of Destiny,E.L. James,Thriller,177.99,76
Infinite Realms,Neil Gaiman,Fantasy,918.2,145
Edge of Tomorrow,E.L. James,Science Fiction,1172.96,76
Infinite Realms,Brandon Sanderson,Mystery,330.78,104
Shadows of Fate,George R.R. Martin,Fiction,260.94,89
The Forgotten Tale,Andy Weir,History,843.45,1
Heart of Steel,Nicholas Sparks,Thriller,554.47,96
Shadows of Fate,Colleen Hoover,Mystery,588.9,139
Heart of Steel,Haruki Murakami,Mystery,375.2,48
The Final Oath,Tana French,History,844.48,36
Shadows of Fate,Veronica Roth,Thriller,438.5,44
The Lost Horizon,Sarah J. Maas,Romance,476.43,24
The Sapphire Flame,Leigh Bardugo,Fantasy,625.4,139
Kingdom of Ash,Margaret Atwood,Thriller,844.36,64
Tides of Destiny,Harlan Coben,Romance,1004.94,68
Winds of Winter,Nicholas Sparks,Romance,1127.61,34
Dreamcatcher,Veronica Roth,Fantasy,925.09,22
The Final Oath,J.K. Rowling,Fiction,1181.36,65
The Lost Horizon,Brandon Sanderson,History,950.31,78
Infinite Realms,Gillian Flynn,Thriller,735.76,2
Heart of Steel,Rick Riordan,Science Fiction,675.57,119
The Sapphire Flame,Colleen Hoover,History,155.98,84
The Forgotten Tale,Neil Gaiman,Fiction,555.73,73
The Sapphire Flame,R.F. Kuang,Thriller,692.2,8
Winds of Winter,Haruki Murakami,History,318.44,48
Last Ember,Nicholas Sparks,Thriller,1051.32,36
Beyond the Veil,Kazuo Ishiguro,Mystery,783.57,79
Crimson Sky,C.S. Lewis,Mystery,1100.22,31
The Silent Sea,Suzanne Collins,Science Fiction,643.43,4
The Hidden Path,Harlan Coben,Fantasy,850.61,19
Heart of Steel,Brandon Sanderson,Fantasy,548.96,49
The Hidden Path,Veronica Roth,Romance,429.21,83
Nightfall,George R.R. Martin,Fiction,765.64,56
The Forgotten Tale,E.L. James,Science Fiction,866.14,120
The Lost Horizon,Veronica Roth,Fiction,652.95,56
The Time Weaver,Sarah J. Maas,Thriller,1053.73,80
Beneath the Stars,Suzanne Collins,Fiction,402.92,112
Heart of Steel,John Grisham,Science Fiction,998.73,143
Crimson Sky,Ernest Cline,History,1024.59,92
The Final Oath,Agatha Christie,Science Fiction,172.34,109
The Time Weaver,Stephen King,Fiction,617.55,37
Beyond the Veil,Neil Gaiman,Biography,637.54,64
Nightfall,Rick Riordan,Fiction,896.67,6
The Final Oath,James Patterson,History,475.64,21
The Hidden Path,J.K. Rowling,Science Fiction,198.43,25
Tides of Destiny,Stephen King,Science Fiction,182.01,33
Kingdom of Ash,Neil Gaiman,Romance,531.93,86
The Sapphire Flame,Ernest Cline,Thriller,298.02,39
Golden Empire,Gillian Flynn,Thriller,356.84,30
Last Ember,Andy Weir,History,1183.58,125
The Hidden Path,Stephen King,History,836.73,138
Heart of Steel,J.K. Rowling,History,852.17,17
Nightfall,Ernest Cline,Fantasy,866.81,135
Whispers of Time,Agatha Christie,Fantasy,820.78,27
The Time Weaver,Rick Riordan,Thriller,837.55,2
Shadows of Fate,Terry Pratchett,Fantasy,954.97,27
Beyond the Veil,Ernest Cline,History,594.71,73
Shadows of Fate,Kazuo Ishiguro,Biography,991.32,144
Infinite Realms,Tana French,Mystery,250.75,106
The Hidden Path,Rick Riordan,History,482.9,24
Edge of Tomorrow,Leigh Bardugo,Biography,519.63,122
The Time Weaver,John Grisham,Mystery,509.54,43
Rise of Legends,Ernest Cline,Fantasy,646.04,5
Stormbreaker,Brandon Sanderson,History,818.36,34
Rise of Legends,Sarah J. Maas,Fantasy,735.98,45
The Final Oath,Terry Pratchett,History,646.36,88
Shadows of Fate,James Patterson,Mystery,1024.26,51
Golden Empire,Tana French,Thriller,704.69,40
Silent Guardian,Stephenie Meyer,Biography,205.26,5
Last Ember,Harlan Coben,History,199.17,3
Silent Guardian,Stephenie Meyer,Fantasy,520.2,4
Kingdom of Ash,Neil Gaiman,Fantasy,1177.47,61
The Silent Sea,Harlan Coben,Biography,611.07,144
The Hidden Path,John Grisham,Fantasy,866.85,29
Winds of Winter,Dan Brown,Thriller,409.9,24
Edge of Tomorrow,Gillian Flynn,Fantasy,1043.28,67
The Time Weaver,J.K. Rowling,Mystery,793.65,100
The Sapphire Flame,Paulo Coelho,Thriller,551.5,88
Golden Empire,Suzanne Collins,Science Fiction,592.99,23
Shadows of Fate,Stephen King,Fantasy,526.34,79
The Hidden Path,J.K. Rowling,Fiction,1007.02,49
Stormbreaker,Colleen Hoover,Biography,912.55,80
Shadows of Fate,Andy Weir,Mystery,701.43,33
The Sapphire Flame,Haruki Murakami,Thriller,393.96,19
Beyond the Veil,Agatha Christie,Biography,1154.58,60
Tides of Destiny,Dan Brown,Fiction,193.89,123
Crimson Sky,Agatha Christie,Fantasy,197.75,134
Stormbreaker,Sarah J. Maas,Science Fiction,581.42,32
Fragments of Light,John Grisham,Romance,275.32,37
Tides of Destiny,Kazuo Ishiguro,Mystery,387.46,27
Fragments of Light,Colleen Hoover,Thriller,420.16,42
The Time Weaver,Stephenie Meyer,Mystery,471.38,108
The Sapphire Flame,Haruki Murakami,Thriller,850.31,76
The Final Oath,Dan Brown,History,412.14,77
Winds of Winter,R.F. Kuang,Mystery,1058.25,44
Edge of Tomorrow,Harlan Coben,History,1018.63,4
Nightfall,Stephen King,Thriller,166.94,80
Dreamcatcher,Harlan Coben,Science Fiction,308.05,33
Heart of Steel,Nicholas Sparks,Science Fiction,1171.73,101
Nightfall,Haruki Murakami,Biography,748.54,134
Nightfall,Terry Pratchett,Fiction,436.92,98
Shadows of Fate,C.S. Lewis,Thriller,961.14,131
Golden Empire,John Grisham,History,330.53,78
The Forgotten Tale,Stephenie Meyer,History,564.5,8
Winds of Winter,R.F. Kuang,Thriller,467.31,30
Stormbreaker,Tana French,History,164.18,131
Beyond the Veil,Stephenie Meyer,Fantasy,1084.15,62
Heart of Steel,J.K. Rowling,History,969.54,125
Arcane Secrets,Tana French,Mystery,407.64,120
The Forgotten Tale,George R.R. Martin,Biography,1065.05,95
The Hidden Path,Dan Brown,Science Fiction,308.76,101
Golden Empire,Harlan Coben,Fiction,248.99,76
Golden Empire,Agatha Christie,Thriller,356.87,35
Stormbreaker,Dan Brown,Fiction,1102.86,45
Beneath the Stars,Brandon Sanderson,Romance,405.9,107
Heart of Steel,Suzanne Collins,Thriller,493.1,90
Whispers of Time,Nicholas Sparks,Thriller,1130.86,54
Arcane Secrets,Suzanne Collins,Fiction,775.4,76
Dreamcatcher,Agatha Christie,Fantasy,772.31,78
Golden Empire,Kazuo Ishiguro,Romance,526.41,11
Golden Empire,Kazuo Ishiguro,Mystery,647.21,53
Dreamcatcher,Paulo Coelho,Romance,958.53,4
Kingdom of Ash,Nicholas Sparks,Biography,220.09,45
The Silent Sea,Harlan Coben,Biography,533.96,85
The Lost Horizon,George R.R. Martin,Biography,539.53,137
The Lost Horizon,Terry Pratchett,Fantasy,720.86,101
Last Ember,George R.R. Martin,Fantasy,205.6,8
Winds of Winter,Stephenie Meyer,Mystery,855.34,80
Golden Empire,R.F. Kuang,History,1092.17,105
Nightfall,Andy Weir,Biography,1095.65,55
The Lost Horizon,Veronica Roth,Fiction,962.75,94
Beneath the Stars,Sarah J. Maas,History,994.91,101
The Hidden Path,Nicholas Sparks,History,1063.65,35
Beyond the Veil,George R.R. Martin,Fantasy,1149.48,69
Crimson Sky,Tana French,Thriller,998.85,19
Nightfall,Gillian Flynn,Romance,738.47,123
The Time Weaver,Haruki Murakami,Science Fiction,201.85,66
The Silent Sea,Ernest Cline,Thriller,511.75,95
Stormbreaker,Rick Riordan,History,181.99,110
Shadows of Fate,Gillian Flynn,Fiction,776.0,138
Whispers of Time,George R.R. Martin,Thriller,852.96,47
Tides of Destiny,Agatha Christie,Fiction,446.73,140
Last Ember,Harlan Coben,Fiction,765.64,127
Kingdom of Ash,R.F. Kuang,History,778.36,6
Dreamcatcher,Suzanne Collins,Science Fiction,1094.13,131
The Time Weaver,Andy Weir,Mystery,711.43,25
Edge of Tomorrow,C.S. Lewis,Mystery,573.94,108
Shadows of Fate,J.K. Rowling,Biography,215.77,16
Beyond the Veil,Ernest Cline,Mystery,920.81,124
The Silent Sea,Suzanne Collins,Romance,910.55,58
Kingdom of Ash,Agatha Christie,Mystery,579.26,86
Rise of Legends,James Patterson,Thriller,535.6,71
Echoes of Eternity,Rick Riordan,Fiction,830.53,12
Nightfall,Nicholas Sparks,Fantasy,1025.81,56
The Celestial Key,Brandon Sanderson,Fantasy,953.15,100
Crimson Sky,Tana French,Romance,969.57,30
Golden Empire,Rick Riordan,Biography,943.25,139
The Hidden Path,Haruki Murakami,Mystery,399.59,67
Rise of Legends,Veronica Roth,Mystery,924.69,51
The Forgotten Tale,John Grisham,Science Fiction,836.38,81
Shadows of Fate,Tana French,Fantasy,834.7,104
The Time Weaver,Ernest Cline,Science Fiction,701.08,85
Infinite Realms,Nicholas Sparks,Fantasy,986.75,6
The Sapphire Flame,Agatha Christie,Biography,939.8,72
The Time Weaver,George R.R. Martin,Biography,849.72,69
The Time Weaver,James Patterson,Thriller,1172.13,44
Golden Empire,Terry Pratchett,Romance,760.4,138
The Time Weaver,John Grisham,Biography,457.3,8
The Forgotten Tale,Brandon Sanderson,Thriller,1098.07,111
Nightfall,Suzanne Collins,Biography,440.52,95
Infinite Realms,John Grisham,Romance,1023.86,53
Golden Empire,Dan Brown,Fantasy,194.75,53
Last Ember,Harlan Coben,Biography,356.63,30
Nightfall,Ernest Cline,Science Fiction,322.01,143
Whispers of Time,Margaret Atwood,History,706.64,26
Shadows of Fate,Kazuo Ishiguro,Romance,227.87,24
The Forgotten Tale,R.F. Kuang,Mystery,1073.51,48
Beyond the Veil,Nicholas Sparks,Fantasy,945.53,108
Edge of Tomorrow,Agatha Christie,History,603.54,101
The Silent Sea,Paulo Coelho,History,822.98,82
Whispers of Time,Veronica Roth,Science Fiction,822.19,73
Last Ember,James Patterson,Biography,874.1,57
Winds of Winter,Margaret Atwood,Mystery,259.39,60
Fragments of Light,Ernest Cline,History,248.33,8
Winds of Winter,Ernest Cline,Thriller,1172.0,142
Heart of Steel,Margaret Atwood,Fantasy,449.03,96
Silent Guardian,R.F. Kuang,Romance,759.58,43
Crimson Sky,Dan Brown,Mystery,736.67,83
Shadows of Fate,C.S. Lewis,Science Fiction,534.66,45
The Sapphire Flame,Dan Brown,History,1069.82,83
The Time Weaver,Gillian Flynn,Fantasy,228.92,57
Beyond the Veil,Tana French,Biography,346.93,92
Rise of Legends,John Grisham,Romance,710.91,134
Silent Guardian,Terry Pratchett,History,257.63,24
Echoes of Eternity,George R.R. Martin,History,683.49,106
Echoes of Eternity,Sarah J. Maas,Fantasy,412.45,121
Last Ember,Sarah J. Maas,History,254.98,81
Echoes of Eternity,Terry Pratchett,Thriller,595.6,127
Tides of Destiny,Margaret Atwood,Biography,746.87,129
Kingdom of Ash,Kazuo Ishiguro,Fiction,1111.51,13
Fragments of Light,Stephenie Meyer,Fantasy,1056.1,94
The Final Oath,Neil Gaiman,Science Fiction,156.2,18
Rise of Legends,Stephen King,Mystery,1134.15,126
Kingdom of Ash,Stephen King,Biography,970.8,74
Silent Guardian,Suzanne Collins,Biography,487.32,106
Nightfall,Dan Brown,Romance,726.89,48
Infinite Realms,Tana French,Fiction,1030.46,32
The Celestial Key,Brandon Sanderson,Romance,161.95,76
Shadows of Fate,J.K. Rowling,Biography,177.05,20
The Final Oath,Haruki Murakami,Romance,217.89,61
Arcane Secrets,Brandon Sanderson,Biography,838.77,15
Winds of Winter,C.S. Lewis,Mystery,259.12,118
The Time Weaver,Colleen Hoover,Fantasy,151.73,80
Winds of Winter,Nicholas Sparks,Thriller,757.73,123
Last Ember,Gillian Flynn,Science Fiction,859.58,19
Tides of Destiny,Sarah J. Maas,Thriller,259.43,79
Winds of Winter,Margaret Atwood,Science Fiction,1022.65,69
Stormbreaker,Brandon Sanderson,Thriller,1097.44,73
Tides of Destiny,Suzanne Collins,Fantasy,281.5,117
The Hidden Path,John Grisham,Science Fiction,1172.34,56
Echoes of Eternity,C.S. Lewis,History,540.07,76
The Sapphire Flame,Harlan Coben,Romance,198.69,16
Echoes of Eternity,Colleen Hoover,Fantasy,888.84,55
Beyond the Veil,Tana French,Biography,703.52,111
City of Echoes,Terry Pratchett,Mystery,1123.91,19
The Silent Sea,James Patterson,Fantasy,324.9,3
Winds of Winter,Veronica Roth,Romance,1190.27,36
